user,model_1,model_2,sample_ID,trial_Index,text,audio_1,audio_2,score_1,score_2
User_001,Model_B,Model_A,Sample_006,1,"यदि हम अपने स्वास्थ्य का ध्यान नहीं रखते हैं, तो भविष्य में छोटी-छोटी बीमारियाँ भी बड़ी समस्या बन सकती हैं।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_006.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_006.wav,,
User_001,Model_A,Model_B,Sample_004,2,"जो लोग समय की कीमत समझते हैं और उसका सही उपयोग करते हैं, वे जीवन में दूसरों से आगे निकल जाते हैं।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_004.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_004.wav,,
User_001,Model_A,Model_B,Sample_002,3,"मेहनत करने वाला व्यक्ति चाहे कितनी भी कठिन परिस्थितियों में क्यों न हो, अंततः अपने लक्ष्य को प्राप्त कर ही लेता है।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_002.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_002.wav,,
User_001,Model_A,Model_B,Sample_001,4,"जब सूरज धीरे-धीरे पहाड़ों के पीछे छिपने लगता है, तब आसमान में फैले रंग मन को शांति और सुकून से भर देते हैं।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_001.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_001.wav,,
User_001,Model_A,Model_B,Sample_008,5,"कठिन समय में जो मित्र हमारे साथ खड़ा रहता है, वही वास्तव में सच्चा मित्र कहलाता है।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_008.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_008.wav,,
User_001,Model_B,Model_A,Sample_010,6,"जब इंसान असफलताओं से सीख लेकर आगे बढ़ता है, तब वही असफलताएँ सफलता की सीढ़ी बन जाती हैं।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_010.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_010.wav,,
User_001,Model_A,Model_B,Sample_003,7,"शिक्षा न केवल हमें ज्ञान देती है, बल्कि सही और गलत के बीच अंतर समझने की क्षमता भी विकसित करती है।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_003.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_003.wav,,
User_001,Model_B,Model_A,Sample_005,8,बारिश के बाद मिट्टी से उठने वाली खुशबू हर किसी के मन में एक अलग ही आनंद और ताजगी भर देती है।,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_005.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_005.wav,,
User_001,Model_B,Model_A,Sample_009,9,"जीवन में सफलता पाने के लिए केवल सपने देखना ही नहीं, बल्कि उन्हें पूरा करने के लिए लगातार प्रयास करना भी आवश्यक है।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_009.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_009.wav,,
User_001,Model_B,Model_A,Sample_007,10,माता-पिता का प्रेम और त्याग ऐसा होता है जिसे शब्दों में पूरी तरह से व्यक्त करना संभव नहीं है।,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_007.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_007.wav,,
User_002,Model_B,Model_A,Sample_004,1,"जो लोग समय की कीमत समझते हैं और उसका सही उपयोग करते हैं, वे जीवन में दूसरों से आगे निकल जाते हैं।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_004.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_004.wav,,
User_002,Model_B,Model_A,Sample_001,2,"जब सूरज धीरे-धीरे पहाड़ों के पीछे छिपने लगता है, तब आसमान में फैले रंग मन को शांति और सुकून से भर देते हैं।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_001.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_001.wav,,
User_002,Model_B,Model_A,Sample_006,3,"यदि हम अपने स्वास्थ्य का ध्यान नहीं रखते हैं, तो भविष्य में छोटी-छोटी बीमारियाँ भी बड़ी समस्या बन सकती हैं।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_006.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_006.wav,,
User_002,Model_B,Model_A,Sample_003,4,"शिक्षा न केवल हमें ज्ञान देती है, बल्कि सही और गलत के बीच अंतर समझने की क्षमता भी विकसित करती है।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_003.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_003.wav,,
User_002,Model_A,Model_B,Sample_009,5,"जीवन में सफलता पाने के लिए केवल सपने देखना ही नहीं, बल्कि उन्हें पूरा करने के लिए लगातार प्रयास करना भी आवश्यक है।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_009.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_009.wav,,
User_002,Model_A,Model_B,Sample_008,6,"कठिन समय में जो मित्र हमारे साथ खड़ा रहता है, वही वास्तव में सच्चा मित्र कहलाता है।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_008.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_008.wav,,
User_002,Model_A,Model_B,Sample_002,7,"मेहनत करने वाला व्यक्ति चाहे कितनी भी कठिन परिस्थितियों में क्यों न हो, अंततः अपने लक्ष्य को प्राप्त कर ही लेता है।",https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_002.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_002.wav,,
User_002,Model_A,Model_B,Sample_007,8,माता-पिता का प्रेम और त्याग ऐसा होता है जिसे शब्दों में पूरी तरह से व्यक्त करना संभव नहीं है।,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_007.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_007.wav,,
User_002,Model_B,Model_A,Sample_005,9,बारिश के बाद मिट्टी से उठने वाली खुशबू हर किसी के मन में एक अलग ही आनंद और ताजगी भर देती है।,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_B/Sample_005.wav,https://storage.googleapis.com/test_audio_merged_josh/tts_blind/audio/Model_A/Sample_005.wav,,
